City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Baker City,44.77,-117.83,82.4,28,1,18.34,US,07/18/20
Sambava,-14.27,50.17,67.68,81,11,17.52,MG,07/18/20
Fare,-16.7,-151.02,78.15,78,17,15.61,PF,07/18/20
Nishihara,26.18,127.76,84.2,89,75,9.17,JP,07/18/20
Prudentópolis,-25.21,-50.98,57.63,92,0,0.83,BR,07/18/20
Cavalcante,-13.8,-47.46,68.2,48,0,8.5,BR,07/18/20
Vaini,-21.2,-175.2,78.8,83,75,11.41,TO,07/18/20
Banjarmasin,-3.32,114.59,78.8,94,20,2.24,ID,07/18/20
Batouri,4.43,14.37,67.44,97,93,3.76,CM,07/18/20
Nelson Bay,-32.72,152.15,60.01,82,90,6.93,AU,07/18/20
Storsteinnes,69.24,19.23,57.2,76,100,9.17,NO,07/18/20
Mahébourg,-20.41,57.7,69.8,68,75,13.87,MU,07/18/20
Avarua,-21.21,-159.78,75.2,57,13,9.17,CK,07/18/20
Cape Town,-33.93,18.42,59.0,44,0,14.99,ZA,07/18/20
Kaitangata,-46.28,169.85,44.01,69,0,1.99,NZ,07/18/20
Hermanus,-34.42,19.23,60.28,44,0,8.12,ZA,07/18/20
Kadayanallur,9.08,77.35,76.68,71,94,7.02,IN,07/18/20
Ribeira Grande,38.52,-28.7,69.98,79,5,14.09,PT,07/18/20
Hilo,19.73,-155.09,86.0,62,20,11.41,US,07/18/20
Saint-Philippe,-21.36,55.77,66.2,72,90,4.7,RE,07/18/20
Segbwema,8.0,-10.95,71.42,97,100,3.18,SL,07/18/20
Saint Paul Harbor,57.79,-152.41,57.2,76,90,10.29,US,07/18/20
Norman Wells,65.28,-126.83,69.8,52,75,5.82,CA,07/18/20
Pangody,65.85,74.49,53.24,86,100,10.89,RU,07/18/20
Darnah,32.77,22.64,74.41,81,0,15.03,LY,07/18/20
Warrnambool,-38.38,142.48,48.99,80,100,11.01,AU,07/18/20
Gambēla,8.25,34.58,68.81,77,100,2.26,ET,07/18/20
Walvis Bay,-22.96,14.51,67.84,24,0,13.04,,07/18/20
Provideniya,64.38,-173.3,50.67,89,100,4.23,RU,07/18/20
Dingle,11.0,122.67,84.25,75,100,9.04,PH,07/18/20
Daşoguz,41.84,59.97,73.4,53,0,4.7,TM,07/18/20
Maumere,-8.62,122.21,81.28,69,17,4.74,ID,07/18/20
Saskylakh,71.92,114.08,53.6,72,80,8.03,RU,07/18/20
Hofn,64.25,-15.21,51.82,69,100,14.38,IS,07/18/20
Avera,33.19,-82.53,87.8,62,1,3.36,US,07/18/20
Puerto Ayora,-0.74,-90.35,69.01,91,26,3.0,EC,07/18/20
Belmonte,-15.86,-38.88,69.8,73,40,3.36,BR,07/18/20
Tiksi,71.69,128.87,46.13,67,96,12.1,RU,07/18/20
Havøysund,71.0,24.66,59.0,87,100,19.46,NO,07/18/20
Sunzha,43.32,45.05,73.4,93,0,4.47,RU,07/18/20
Geraldton,-28.77,114.6,50.0,81,40,10.29,AU,07/18/20
Peniche,39.36,-9.38,66.99,91,0,1.45,PT,07/18/20
Itarema,-2.92,-39.92,77.18,82,0,10.78,BR,07/18/20
Port Alfred,-33.59,26.89,63.21,28,0,12.06,ZA,07/18/20
Tigil',57.8,158.67,58.64,72,100,16.84,RU,07/18/20
Kruisfontein,-34.0,24.73,54.93,35,0,10.89,ZA,07/18/20
Sirte,31.21,16.59,76.53,80,0,8.25,LY,07/18/20
Bahía Solano,6.23,-77.4,79.59,80,41,2.86,CO,07/18/20
George Town,5.41,100.34,80.6,94,20,5.73,MY,07/18/20
Palana,59.12,159.97,46.33,100,100,16.69,RU,07/18/20
Tamworth,52.63,-1.7,63.0,77,75,5.82,GB,07/18/20
Pitimbu,-7.47,-34.81,73.4,100,90,9.17,BR,07/18/20
Lázaro Cárdenas,17.96,-102.2,83.59,76,0,6.55,MX,07/18/20
Hibbing,47.43,-92.94,80.6,51,1,6.93,US,07/18/20
Muri,23.37,85.87,82.4,80,59,3.62,IN,07/18/20
Dikson,73.51,80.55,40.42,95,39,10.0,RU,07/18/20
Grants,35.15,-107.85,69.8,60,90,16.11,US,07/18/20
Omsukchan,62.53,155.8,55.15,61,93,9.37,RU,07/18/20
Delano,35.77,-119.25,100.4,20,1,11.41,US,07/18/20
Ambon City,-3.7,128.18,81.0,83,75,5.82,ID,07/18/20
Sola,-13.88,167.55,80.6,94,90,2.24,VU,07/18/20
Bereda,43.27,-7.54,60.01,100,62,1.99,ES,07/18/20
Conceição do Araguaia,-8.26,-49.26,75.24,47,90,2.86,BR,07/18/20
Syracuse,37.09,15.28,75.0,78,0,2.24,IT,07/18/20
Thunder Bay,48.4,-89.32,78.8,47,75,11.41,CA,07/18/20
Acandí,8.51,-77.28,79.05,88,98,4.05,CO,07/18/20
Sur,22.57,59.53,86.56,63,83,3.53,OM,07/18/20
Lagoa,39.05,-27.98,69.78,82,21,13.29,PT,07/18/20
Puerto Santander,8.36,-72.41,78.42,81,33,1.5,CO,07/18/20
Lebu,-37.62,-73.65,52.84,84,26,18.68,CL,07/18/20
Sayyan,15.17,44.32,64.0,57,94,2.62,YE,07/18/20
Esil,51.96,66.4,73.98,73,20,12.57,KZ,07/18/20
Lavaca,28.61,-96.63,84.0,78,1,4.7,US,07/18/20
Qaanaaq,77.48,-69.36,46.38,71,100,10.22,GL,07/18/20
Lompoc,34.64,-120.46,69.8,60,23,12.75,US,07/18/20
Zhigansk,66.77,123.37,57.51,98,100,6.6,RU,07/18/20
Swakopmund,-22.68,14.53,67.44,28,0,15.41,,07/18/20
West Wendover,40.74,-114.07,100.4,8,1,17.22,US,07/18/20
Bengkulu,-3.8,102.27,77.52,83,100,4.32,ID,07/18/20
Kharian,32.81,73.86,86.0,79,20,5.82,PK,07/18/20
Eydhafushi,5.1,73.07,83.16,74,100,14.74,MV,07/18/20
Redwood City,37.49,-122.24,80.01,50,5,11.41,US,07/18/20
Biak,-0.91,122.88,81.39,71,4,4.76,ID,07/18/20
Chokwé,-24.53,32.98,53.92,88,0,3.53,MZ,07/18/20
San Joaquin,10.26,-67.79,75.29,82,4,2.59,VE,07/18/20
Coyhaique,-45.58,-72.07,32.0,86,90,1.12,CL,07/18/20
Mount Hagen,-5.86,144.23,66.2,82,40,4.7,PG,07/18/20
Tasiilaq,65.61,-37.64,46.4,70,0,6.93,GL,07/18/20
Fortuna,40.6,-124.16,63.0,82,40,12.75,US,07/18/20
Narsaq,60.92,-46.05,51.8,54,93,10.29,GL,07/18/20
Tuatapere,-46.13,167.68,39.0,83,0,3.0,NZ,07/18/20
Amahai,-3.33,128.92,80.08,81,59,5.37,ID,07/18/20
Anadyr,64.75,177.48,57.2,76,84,15.66,RU,07/18/20
Ürümqi,43.8,87.6,82.4,28,0,11.18,CN,07/18/20
Upernavik,72.79,-56.15,46.4,57,100,8.75,GL,07/18/20
Safaga,26.73,33.94,86.0,37,0,19.46,EG,07/18/20
Noyabrsk,63.2,75.45,59.27,63,99,17.9,RU,07/18/20
The Valley,18.22,-63.06,82.4,69,20,9.17,AI,07/18/20
Nikolskoye,59.7,30.79,55.4,87,0,4.47,RU,07/18/20
‘Āhuimanu,21.44,-157.84,89.6,74,75,11.41,US,07/18/20
Port Lincoln,-34.73,135.87,60.51,51,51,23.22,AU,07/18/20
Nome,64.5,-165.41,69.01,59,1,14.99,US,07/18/20
Pevek,69.7,170.31,46.29,75,48,2.44,RU,07/18/20
Sterling,39.01,-77.43,88.0,63,42,0.72,US,07/18/20
San Jose,37.34,-121.89,87.01,44,40,12.75,US,07/18/20
Sovetskiy,61.36,63.58,69.19,93,100,7.83,RU,07/18/20
Bahía Honda,22.9,-83.16,80.6,84,30,10.63,CU,07/18/20
Nuevo Progreso,23.17,-97.95,84.99,61,7,4.0,MX,07/18/20
Mogocha,53.73,119.77,72.97,55,100,2.04,RU,07/18/20
Iglesias,39.31,8.54,71.01,82,16,6.93,IT,07/18/20
Bratsk,56.13,101.61,51.8,81,75,11.18,RU,07/18/20
Caravelas,-17.71,-39.25,68.7,68,0,5.59,BR,07/18/20
Hobyo,5.35,48.53,77.34,71,99,28.97,SO,07/18/20
Dresden,51.05,13.74,57.2,87,40,2.24,DE,07/18/20
Lata,40.16,-8.33,73.99,91,0,2.24,PT,07/18/20
Yar-Sale,66.83,70.83,51.21,90,100,16.37,RU,07/18/20
Carnarvon,-24.87,113.63,53.6,87,0,8.05,AU,07/18/20
Khatanga,71.97,102.5,40.77,92,100,9.73,RU,07/18/20
College,64.86,-147.8,69.8,52,75,10.29,US,07/18/20
Verkhnevilyuysk,63.45,120.32,60.8,88,100,3.62,RU,07/18/20
Longyearbyen,78.22,15.64,48.2,70,40,11.41,SJ,07/18/20
Iqaluit,63.75,-68.51,42.8,93,90,12.75,CA,07/18/20
Coquimbo,-29.95,-71.34,51.8,87,90,4.7,CL,07/18/20
Weligama,5.97,80.42,79.2,86,94,8.12,LK,07/18/20
Ipaba,-19.41,-42.42,63.41,80,0,0.45,BR,07/18/20
Pisco,-13.7,-76.22,60.8,82,0,13.87,PE,07/18/20
Abancay,-13.63,-72.88,55.76,70,2,2.95,PE,07/18/20
Saint-Pierre,-21.34,55.48,66.2,72,90,4.7,RE,07/18/20
Salalah,17.02,54.09,82.4,88,40,6.93,OM,07/18/20
Gorontalo,0.54,123.06,83.91,73,14,1.61,ID,07/18/20
Hof,50.32,11.92,54.0,85,1,1.99,DE,07/18/20
Tamandaré,-8.76,-35.1,74.86,86,59,13.71,BR,07/18/20
Port-Gentil,-0.72,8.78,74.35,88,99,13.42,GA,07/18/20
Ketchikan,55.34,-131.65,57.2,87,90,10.29,US,07/18/20
Constitución,-35.33,-72.42,56.25,85,99,21.59,CL,07/18/20
Fort Nelson,58.81,-122.7,71.6,53,75,9.17,CA,07/18/20
Mizdah,31.45,12.98,70.86,72,0,10.27,LY,07/18/20
Saint-François,46.42,3.91,54.0,87,3,2.48,FR,07/18/20
Purranque,-40.92,-73.17,50.0,100,100,4.7,CL,07/18/20
Surgut,61.25,73.42,62.6,77,20,8.95,RU,07/18/20
Bredasdorp,-34.53,20.04,46.4,75,0,10.29,ZA,07/18/20
Maragogi,-9.01,-35.22,74.41,87,47,13.8,BR,07/18/20
Cockburn Town,21.46,-71.14,83.57,77,0,17.13,TC,07/18/20
Portobelo,9.55,-79.65,86.0,66,40,2.24,PA,07/18/20
Progreso,21.28,-89.67,86.0,66,75,8.05,MX,07/18/20
Proletariy,58.43,31.7,51.39,72,6,2.06,RU,07/18/20
Roald,62.58,6.13,57.2,76,33,6.93,NO,07/18/20
Sioux Lookout,50.1,-91.92,77.0,53,90,4.7,CA,07/18/20
Jamestown,42.1,-79.24,75.2,60,1,4.7,US,07/18/20
Morgan City,29.7,-91.21,87.8,88,1,3.36,US,07/18/20
Thika,-1.03,37.07,59.0,67,98,4.7,KE,07/18/20
Grand Bank,47.1,-55.77,55.81,74,49,2.51,CA,07/18/20
Nuevitas,21.55,-77.26,82.4,83,7,6.93,CU,07/18/20
Xiantao,30.38,113.4,76.95,96,100,2.19,CN,07/18/20
Mount Darwin,-16.77,31.58,44.51,83,0,3.11,ZW,07/18/20
Tuktoyaktuk,69.45,-133.04,48.2,76,75,13.87,CA,07/18/20
Guerrero Negro,27.98,-114.06,75.87,56,3,16.46,MX,07/18/20
Menongue,-14.66,17.69,40.86,69,0,4.5,AO,07/18/20
Manama,26.22,50.58,93.2,67,9,4.7,BH,07/18/20
Caucayá,-0.19,-74.78,71.58,95,9,1.9,CO,07/18/20
Terrace,54.52,-128.6,71.6,46,75,10.29,CA,07/18/20
Wenling,28.37,121.36,87.01,62,88,9.31,CN,07/18/20
Karaman Province,37.08,33.25,64.53,64,0,6.11,TR,07/18/20
Thompson,55.74,-97.86,69.8,60,90,3.36,CA,07/18/20
Pokhara,28.23,83.98,73.06,87,100,0.43,NP,07/18/20
Sarkand,45.41,79.92,81.77,28,100,5.3,KZ,07/18/20
Finschhafen,-6.6,147.87,76.62,88,100,5.28,PG,07/18/20
Praia da Vitória,38.73,-27.07,69.8,83,75,11.68,PT,07/18/20
Kailua,21.4,-157.74,89.6,74,75,11.41,US,07/18/20
Ilulissat,69.22,-51.1,53.6,59,35,4.7,GL,07/18/20
Cururupu,-1.83,-44.87,73.45,93,19,1.05,BR,07/18/20
Clyde River,70.47,-68.59,41.0,93,1,14.99,CA,07/18/20
Nanortalik,60.14,-45.24,46.22,68,98,10.22,GL,07/18/20
Binghamton,42.1,-75.92,73.99,56,1,8.05,US,07/18/20
Northam,51.03,-4.22,59.0,94,85,7.0,GB,07/18/20
Quelimane,-17.88,36.89,66.16,86,56,7.18,MZ,07/18/20
Adrar,20.5,-10.07,95.76,24,68,4.63,MR,07/18/20
Mufumbwe,-13.68,24.8,42.69,84,0,5.14,ZM,07/18/20
Manakara,-22.13,48.02,62.17,92,97,7.54,MG,07/18/20
East London,-33.02,27.91,63.27,25,0,4.81,ZA,07/18/20
Douentza,15.0,-2.95,89.64,42,2,11.5,ML,07/18/20
Port Hardy,50.7,-127.42,64.4,63,20,17.22,CA,07/18/20
Kovdor,67.57,30.48,55.09,83,100,5.06,RU,07/18/20
Mount Gambier,-37.83,140.77,50.0,66,100,14.99,AU,07/18/20
Rome,43.21,-75.46,75.2,69,1,5.82,US,07/18/20
Arica,-18.48,-70.3,59.0,77,20,1.63,CL,07/18/20
Hasaki,35.73,140.83,66.2,100,75,6.93,JP,07/18/20
Bud,39.45,-86.18,82.99,65,40,5.82,US,07/18/20
Trincomalee,8.57,81.23,81.55,75,100,6.02,LK,07/18/20
Novoagansk,61.94,76.66,59.61,63,100,8.43,RU,07/18/20
Krasne,49.91,24.61,60.8,87,57,8.95,UA,07/18/20
Besleney,44.24,41.74,60.01,9,0,1.99,RU,07/18/20
Tabou,4.42,-7.35,75.0,83,71,6.44,CI,07/18/20
Zabaykal'sk,49.63,117.32,61.9,69,100,8.66,RU,07/18/20
Timmins,48.47,-81.33,77.0,47,20,6.93,CA,07/18/20
Port Elizabeth,-33.92,25.57,44.6,52,0,3.36,ZA,07/18/20
Karla,59.37,24.93,60.01,93,41,3.36,EE,07/18/20
Flinders,-34.58,150.86,61.0,69,0,1.99,AU,07/18/20
Harbour Breton,47.48,-55.8,55.9,81,13,0.76,CA,07/18/20
Jumla,29.27,82.18,65.03,70,97,1.03,NP,07/18/20
Pimentel,-6.84,-79.93,61.52,88,0,11.27,PE,07/18/20
Koulamoutou,-1.13,12.47,69.19,95,6,1.79,GA,07/18/20
Eyl,7.98,49.82,80.06,58,100,33.84,SO,07/18/20
Sakakah,29.97,40.21,84.2,12,0,3.36,SA,07/18/20
Olutanga,7.31,122.85,82.33,75,28,4.23,PH,07/18/20
Barabai,-2.58,115.38,82.09,77,1,0.25,ID,07/18/20
Ust'-Omchug,61.15,149.63,55.62,84,100,6.11,RU,07/18/20
Bambous Virieux,-20.34,57.76,69.8,68,75,13.87,MU,07/18/20
Termez,37.22,67.28,77.0,29,0,4.7,UZ,07/18/20
Kamenka,51.32,42.77,61.0,90,100,5.01,RU,07/18/20
Talaya,61.38,152.75,51.82,84,100,11.59,RU,07/18/20
Bariloche,-41.15,-71.31,37.4,86,75,8.05,AR,07/18/20
Waipawa,-41.41,175.52,57.2,67,100,8.05,NZ,07/18/20
Ocós,14.51,-92.19,86.0,79,75,4.7,GT,07/18/20
Samarai,-10.62,150.67,76.33,84,100,15.03,PG,07/18/20
Isangel,-19.55,169.27,77.0,61,20,10.29,VU,07/18/20
Mossamedes,-15.2,12.15,67.93,55,0,4.52,AO,07/18/20
Richards Bay,-28.78,32.04,54.66,76,0,8.08,ZA,07/18/20
Mehamn,71.04,27.85,58.71,78,100,9.37,NO,07/18/20
Upanema,-5.64,-37.26,77.94,68,5,8.79,BR,07/18/20
Ahipara,-35.17,173.17,64.67,79,85,7.02,NZ,07/18/20
Hirara,24.8,125.28,87.8,79,75,13.87,JP,07/18/20
Saldanha,-33.01,17.94,53.6,66,0,4.7,ZA,07/18/20
Belaya Gora,68.53,146.42,61.5,44,1,6.13,RU,07/18/20
Konya Province,38.17,32.5,69.8,56,0,9.17,TR,07/18/20
Leningradskiy,69.38,178.42,38.84,80,92,15.86,RU,07/18/20
Nalvo,16.81,120.51,86.22,56,100,2.64,PH,07/18/20
Maïné Soroa,13.21,12.02,78.82,71,90,10.0,NE,07/18/20
Kokopo,-4.35,152.26,83.14,77,77,6.73,PG,07/18/20
Margate,51.38,1.39,62.01,92,0,7.02,GB,07/18/20
Sabha,27.04,14.43,84.79,28,0,10.33,LY,07/18/20
Katsuura,35.13,140.3,73.4,100,75,3.36,JP,07/18/20
Pāsighāt,28.07,95.33,77.76,87,100,2.55,IN,07/18/20
Puquio,-14.7,-74.13,52.63,48,0,1.88,PE,07/18/20
Gilbués,-9.83,-45.34,70.77,49,0,5.12,BR,07/18/20
Ibrā’,22.69,58.53,88.25,49,79,3.0,OM,07/18/20
Honiara,-9.43,159.95,87.8,66,75,9.17,SB,07/18/20
Brae,60.4,-1.35,53.6,93,92,8.05,GB,07/18/20
Houma,29.6,-90.72,86.0,70,40,3.36,US,07/18/20
Nālūt,30.33,10.85,81.05,39,0,13.51,LY,07/18/20
Kaabong,3.48,34.15,61.39,91,100,1.54,UG,07/18/20
Santiago del Estero,-27.8,-64.26,66.52,66,0,6.08,AR,07/18/20
Ol'ga,43.74,135.29,74.14,64,12,6.78,RU,07/18/20
Fairbanks,64.84,-147.72,69.8,49,90,8.05,US,07/18/20
Port Blair,11.67,92.75,81.7,79,87,7.43,IN,07/18/20
Kraskino,42.71,130.78,69.75,80,82,3.65,RU,07/18/20
Naze,28.37,129.48,86.0,83,75,20.8,JP,07/18/20
Ancud,-41.87,-73.82,50.0,93,75,12.75,CL,07/18/20
Östersund,63.18,14.64,51.8,93,100,6.93,SE,07/18/20
Bougouni,11.42,-7.48,72.7,94,100,5.3,ML,07/18/20
Shirgaon,19.7,72.7,80.83,87,60,14.81,IN,07/18/20
Souillac,-20.52,57.52,69.8,68,75,13.87,MU,07/18/20
Ponta do Sol,32.67,-17.1,71.01,77,20,5.82,PT,07/18/20
Laguna,38.42,-121.42,88.0,29,1,9.17,US,07/18/20
São Raimundo das Mangabeiras,-7.02,-45.48,75.24,50,11,1.66,BR,07/18/20
Gobabis,-22.45,18.97,35.6,51,0,1.12,,07/18/20
Sørland,67.67,12.69,54.91,82,16,22.24,NO,07/18/20
Vila,42.03,-8.16,69.01,64,0,1.01,PT,07/18/20
Port Pirie,-33.18,138.02,57.2,44,100,19.46,AU,07/18/20
Goiatuba,-18.01,-49.35,65.86,55,0,9.37,BR,07/18/20
Manicoré,-5.81,-61.3,78.49,64,30,2.1,BR,07/18/20
Hohhot,40.81,111.65,64.4,88,40,2.24,CN,07/18/20
Tarauacá,-8.16,-70.77,74.48,82,0,0.81,BR,07/18/20
Ternate,0.8,127.4,82.11,74,0,2.35,ID,07/18/20
Makat,47.65,53.35,84.88,48,95,7.18,KZ,07/18/20
Nadym,65.53,72.52,54.75,89,100,19.22,RU,07/18/20
Celestún,20.87,-90.4,82.65,76,0,16.26,MX,07/18/20
Donskoy,53.97,38.34,52.02,95,0,4.56,RU,07/18/20
Altamont,42.21,-121.74,87.8,18,1,17.22,US,07/18/20
Niquelândia,-14.47,-48.46,70.66,45,0,8.23,BR,07/18/20
Najrān,17.49,44.13,91.4,19,75,10.29,SA,07/18/20
Cabo San Lucas,22.89,-109.91,89.01,61,5,18.34,MX,07/18/20
Elk City,35.41,-99.4,95.0,32,1,18.34,US,07/18/20
Bururi Province,-3.85,29.63,51.21,71,96,1.39,BI,07/18/20
Tura,25.52,90.22,76.55,95,100,5.1,IN,07/18/20
Promyshlennaya,54.92,85.64,59.0,87,3,8.95,RU,07/18/20
Guia Lopes da Laguna,-21.46,-56.11,71.8,45,0,4.03,BR,07/18/20
Ulkan,57.24,107.32,57.27,64,7,9.33,RU,07/18/20
Ridgecrest,35.62,-117.67,102.2,6,1,16.11,US,07/18/20
Uarini,-2.99,-65.11,73.51,94,100,1.95,BR,07/18/20
São Filipe,14.9,-24.5,75.15,77,10,7.92,CV,07/18/20
Kongolo,-5.38,27.0,67.42,41,0,8.77,CD,07/18/20
Egvekinot,66.32,-179.17,48.65,93,100,3.71,RU,07/18/20
Neyshabur,36.21,58.8,71.85,41,0,1.01,IR,07/18/20
Riyadh,24.69,46.72,89.6,13,0,8.05,SA,07/18/20
Jalu,29.03,21.55,78.48,53,0,8.3,LY,07/18/20
Dunedin,-45.87,170.5,52.0,64,97,1.99,NZ,07/18/20
Ostrovnoy,68.05,39.51,53.04,65,100,2.75,RU,07/18/20
Kirensk,57.79,108.11,53.83,78,99,8.75,RU,07/18/20
Scarborough,54.28,-0.4,63.0,83,100,3.0,GB,07/18/20
Daoukro,7.06,-3.96,71.15,94,88,4.34,CI,07/18/20
Isoka,-10.16,32.63,44.71,96,18,4.09,ZM,07/18/20
Beroroha,-21.67,45.17,56.48,75,0,4.85,MG,07/18/20
Vung Tau,10.35,107.08,84.45,70,37,3.49,VN,07/18/20
Klaksvík,62.23,-6.59,50.0,93,97,21.92,FO,07/18/20
Mandera,3.94,41.87,74.77,58,90,18.01,KE,07/18/20
Vera Cruz,-12.63,-41.03,62.85,91,59,3.42,BR,07/18/20
Gurupá,-1.41,-51.64,74.16,89,2,3.24,BR,07/18/20
Miles City,46.41,-105.84,93.2,17,1,10.29,US,07/18/20
Vila Franca do Campo,37.72,-25.43,68.0,82,75,5.82,PT,07/18/20
Bharatpur,27.22,77.48,90.99,59,97,3.8,IN,07/18/20
Salaverry,-8.23,-78.97,60.93,86,3,8.55,PE,07/18/20
Prince George,53.92,-122.75,71.01,49,40,10.29,CA,07/18/20
Katobu,-4.94,122.53,81.59,77,84,6.64,ID,07/18/20
Touros,-5.2,-35.46,75.2,88,40,6.93,BR,07/18/20
Shatrovo,56.52,64.63,69.19,82,96,4.09,RU,07/18/20
San Quintín,30.48,-115.95,72.05,69,0,14.36,MX,07/18/20
Birjand,32.87,59.22,73.4,31,0,6.93,IR,07/18/20
Jardim,-21.48,-56.14,71.94,45,0,4.09,BR,07/18/20
Kahului,20.89,-156.47,95.0,44,40,19.46,US,07/18/20
Corner Brook,48.97,-57.95,66.2,39,75,1.59,CA,07/18/20
Acarí,-15.43,-74.62,60.49,68,24,3.27,PE,07/18/20
Qasigiannguit,68.82,-51.19,53.6,58,80,4.7,GL,07/18/20
Lixouri,38.2,20.43,71.98,75,0,7.65,GR,07/18/20
Liberal,37.04,-100.92,98.6,25,1,17.22,US,07/18/20
Yulara,-25.24,130.99,53.6,30,12,3.36,AU,07/18/20
Husavik,66.04,-17.34,42.8,87,90,17.22,IS,07/18/20
Gisborne,-38.65,178.0,59.0,83,100,7.0,NZ,07/18/20
Kavaratti,10.57,72.64,83.14,79,100,17.87,IN,07/18/20
Bilibino,68.05,166.44,62.51,60,48,8.88,RU,07/18/20
Bemidji,47.47,-94.88,64.4,100,90,18.34,US,07/18/20
Half Moon Bay,37.46,-122.43,79.0,82,90,11.41,US,07/18/20
Winnemucca,40.97,-117.74,100.4,8,1,8.05,US,07/18/20
Alofi,-19.06,-169.92,80.6,69,0,11.41,NU,07/18/20
San Luis,-33.3,-66.34,51.55,60,3,4.88,AR,07/18/20
